
                  X                  c1                 c3                 c5                 c7                 c9                 d1                 d3                 d5                 d7                 d9       

                0.                 4.62771            0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.         
              750.259E-09        308.877              0.                 0.                 0.                 0.                15.0046E-06         0.                 0.                 0.                 0.         
                1.50279E-06      796.823              0.                 0.                 0.                 0.                29.7431E-06         0.                 0.                 0.                 0.         
                2.25097E-06        1.30103E+03        0.                 0.                 0.                 0.                43.4774E-06        22.7374E-12         0.                 0.                 0.         
                3.0035E-06         1.79311E+03      435.003E-06          0.                 0.                 0.                55.9279E-06       411.546E-12          0.                 0.                 0.         
                3.75168E-06        2.24526E+03        9.0873E-03         0.               249.376E-06          0.                66.3129E-06         7.22139E-09        0.                 0.                 0.         
                4.50425E-06        2.47167E+03       56.903E-03          0.                 5.60443E-03        0.                74.3191E-06        36.0051E-09         0.                 0.                 0.         
                5.25247E-06        2.82304E+03      210.608E-03          0.                 0.                 0.                79.5872E-06       124.135E-09          0.                 0.                 0.         
                6.00069E-06        2.89894E+03      498.686E-03          0.                 0.                 0.                81.8861E-06       335.835E-09          0.                 0.                 0.         
                6.75326E-06        2.81652E+03        1.34698            0.                10.5457E-03         0.                81.1433E-06       761.099E-09          0.                 0.                 0.         
                7.50148E-06        2.45203E+03        9.33732            0.                 0.                 0.                77.7087E-06         1.52975E-06        0.                 0.                 0.         
                8.25405E-06        1.80752E+03       23.0229             4.85453E-06        0.                 0.                71.998E-06          2.8077E-06         0.                 0.                 0.         
                9.00227E-06        1.0845E+03        50.3261             7.65333E-06        0.                 9.63281E-03       65.0007E-06         4.73309E-06        0.                 0.                 0.         
                9.75049E-06      523.879            110.371             37.6516E-06         5.10145E-03        1.41267E-03       57.6688E-06         7.44513E-06        0.                 0.                 0.         
               10.5031E-06        54.8527           196.077            196.364E-06          0.                 0.                50.8212E-06        11.0704E-06         0.                 0.                 0.         
               11.2513E-06         0.               309.001            574.804E-06        385.307E-06          0.                45.0398E-06        15.5902E-06       283.762E-12          0.                 0.         
               12.0038E-06         0.               481.92               1.65905E-03      416.586E-06         20.5614E-03        40.5226E-06        21.0351E-06       858.563E-12          0.                 0.         
               12.7521E-06         0.               681.537              3.81506E-03       25.2037E-06         0.                37.1918E-06        27.136E-06          2.1937E-09         0.                 0.         
               13.5003E-06         0.               905.858              9.96768E-03        0.                 6.33729E-03       35.1775E-06        33.6729E-06         7.09952E-09        0.                 0.         
               14.2529E-06         0.                 1.17438E+03       31.4787E-03         0.                 0.                34.0424E-06        40.2673E-06        23.043E-09          0.                 0.         
               15.0011E-06         0.                 1.35859E+03      106.408E-03          0.                 0.                33.6348E-06        46.289E-06         58.2404E-09         0.                 0.         
               15.7535E-06         0.                 1.6135E+03       225.664E-03          0.                 0.                33.7124E-06        51.2842E-06       135.617E-09          0.                 0.         
               16.5016E-06         0.                 1.756E+03        503.083E-03          0.                 0.                33.9864E-06        54.8272E-06       288.364E-09          0.                 0.         
               17.254E-06          0.                 1.80476E+03        1.05012            0.               541.777E-06         34.2872E-06        56.5348E-06       559.754E-09          0.                 0.         
               18.0021E-06         0.                 1.76878E+03        3.53294            0.                 0.                34.5596E-06        56.5144E-06         1.0183E-06         0.                 0.         
               18.7501E-06         0.                 1.6411E+03        12.4813             0.                 0.                34.9408E-06        54.7696E-06         1.74197E-06        0.                 0.         
               19.5026E-06         0.                 1.32675E+03       23.901            326.327E-06          0.                35.3055E-06        51.6081E-06         2.8246E-06         0.                 0.         
               20.2506E-06         0.                 1.02382E+03       45.5293             0.               256.615E-06         35.6065E-06        47.4346E-06         4.34055E-06        0.                 0.         
               21.003E-06          0.               620.831             90.3052             0.                 0.                35.909E-06         42.6889E-06         6.39764E-06        0.                 0.         
               21.7511E-06         0.               329.013            139.766              0.                 0.                36.2191E-06        38.0004E-06         9.02265E-06        0.                 0.         
               22.5035E-06         0.                91.3775           232.664            474.73E-06           0.                36.5187E-06        33.7081E-06        12.2697E-06       196.451E-12          0.         
               23.2516E-06         0.                 0.               321.391              2.16052E-03        0.                36.836E-06         30.0773E-06        16.0348E-06       822.183E-12          0.         
               24.004E-06          0.                 0.               467.205              0.                 0.                37.1695E-06        27.3432E-06        20.2975E-06         2.12094E-09        0.         
               24.752E-06          0.                 0.               595.115              0.                 0.                37.5624E-06        25.4065E-06        24.8444E-06         5.39148E-09        0.         
               25.5001E-06         0.                 0.               774.259             22.2922E-03         0.                37.8155E-06        24.233E-06         29.44E-06          16.1381E-09         0.         
               26.2525E-06         0.                 0.               919.374             74.6307E-03         0.                38.1615E-06        23.5596E-06        33.8528E-06        40.5817E-09         0.         
               27.0006E-06         0.                 0.                 1.06521E+03      152.409E-03        485.026E-06         38.4457E-06        23.3705E-06        37.6666E-06        88.2792E-09         0.         
               27.753E-06          0.                 0.                 1.19916E+03      319.7E-03           71.2205E-06        38.7728E-06        23.5121E-06        40.7193E-06       183.627E-09          0.         
               28.5011E-06         0.                 0.                 1.26819E+03      638.984E-03        223.673E-06         39.0544E-06        23.764E-06         42.6362E-06       351.843E-09          0.         
               29.2535E-06         0.                 0.                 1.28746E+03        1.18782            0.                39.409E-06         24.0986E-06        43.312E-06        629.188E-09          0.         
               30.0015E-06         0.                 0.                 1.26081E+03        4.4679             0.                39.8108E-06        24.4004E-06        42.7581E-06         1.0748E-06         0.         
               30.754E-06          0.                 0.                 1.11849E+03       12.5965           295.556E-06         40.07E-06          24.7522E-06        40.9834E-06         1.73525E-06        0.         
               31.5024E-06         0.                 0.               928.464             22.8739             0.                40.3837E-06        25.0384E-06        38.3482E-06         2.68507E-06        0.         
               32.2508E-06         0.                 0.               710.345             37.8629             0.                40.6756E-06        25.3706E-06        35.0054E-06         3.96401E-06        0.         
               33.0035E-06         0.                 0.               450.228             73.4634             0.                41.0343E-06        25.7068E-06        31.3384E-06         5.66427E-06        0.         
               33.7519E-06         0.                 0.               244.432            118.412              0.                41.3401E-06        26.0043E-06        27.7532E-06         7.78686E-06        0.         
               34.5003E-06         0.                 0.                99.8444           174.52               0.                41.6752E-06        26.3098E-06        24.3908E-06        10.308E-06          0.         
               35.253E-06          0.                 0.                 6.49719          261.257              0.                42.0206E-06        26.6539E-06        21.5459E-06        13.285E-06        472.937E-12  
               36.0014E-06         0.                 0.                 0.               332.966              2.75154E-03       42.3108E-06        26.9934E-06        19.2841E-06        16.552E-06          1.7244E-09 
