
                  X                  c1                 c3                 c5                 c7                 c9                 d1                 d3                 d5                 d7                 d9       

                0.                 2.32723            0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.         
              750.259E-09        117.429              0.                 0.                 0.                 0.                 7.50244E-06        0.                 0.                 0.                 0.         
                1.50279E-06      303.444            714.329E-06          0.               714.877E-06        715.057E-06         14.9161E-06         0.                 0.                 0.                 0.         
                2.25097E-06      524.279            671.178E-06          0.               698.875E-06        697.616E-06         21.9352E-06         7.38964E-12        0.                 0.                 0.         
                3.0035E-06       747.479              0.                10.7747E-06         0.                 1.52108E-03       28.4328E-06       150.521E-12          0.                 0.                 0.         
                3.75168E-06      927.945              1.15069E-03        0.                 0.                 2.45603E-03       34.07E-06           1.0732E-09         0.                 0.                 0.         
                4.50425E-06        1.11515E+03        5.74421E-03       22.7332E-06         0.               142.281E-06         38.7214E-06         7.46013E-09        0.                 0.                 0.         
                5.25247E-06        1.25659E+03       20.4879E-03        45.2805E-06         4.90343E-03        1.47919E-03       42.1588E-06        29.1247E-09         0.                 0.                 0.         
                6.00069E-06        1.31815E+03      145.467E-03         54.1569E-06         8.09273E-03        1.10881E-03       44.207E-06         80.7968E-09         0.                 0.                 0.         
                6.75326E-06        1.33128E+03      321.821E-03         52.8138E-06         0.                 0.                44.9229E-06       199.499E-09          0.                 0.                 0.         
                7.50148E-06        1.28364E+03      765.036E-03         52.2121E-06         0.                 9.2424E-03        44.2344E-06       418.745E-09          0.                 0.                 0.         
                8.25405E-06        1.14643E+03        1.44616           51.2065E-06         0.                 0.                42.2825E-06       806.544E-09          0.                 0.                 0.         
                9.00227E-06      939.761              8.68449            0.               987.445E-06          0.                39.3419E-06         1.41329E-06        0.                 0.                 0.         
                9.75049E-06      658.634             18.4967             0.                 0.                 0.                35.6633E-06         2.32531E-06        0.                 0.                 0.         
               10.5031E-06       415.824             34.1683             0.                 1.04572E-03        0.                31.627E-06          3.5963E-06         0.                 0.                 0.         
               11.2513E-06       182.568             64.8464             0.               523.208E-06          0.                27.6274E-06         5.29512E-06        0.                 0.                 0.         
               12.0038E-06        41.4937           112.347             37.0384E-06       609.518E-06          0.                23.9237E-06         7.45352E-06       84.583E-12          0.                 0.         
               12.7521E-06         0.               164.402            394.4E-06          368.593E-06          0.                20.7729E-06        10.0179E-06       281.034E-12          0.                 0.         
               13.5003E-06         0.               252.987              1.19299E-03        0.                 0.                18.2044E-06        13.0165E-06       717.591E-12          0.                 0.         
               14.2529E-06         0.               329.425              2.71267E-03        0.                 0.                16.2336E-06        16.3247E-06         1.64346E-09        0.                 0.         
               15.0011E-06         0.               457.474              6.08499E-03        0.                 1.16181E-03       14.8157E-06        19.8088E-06         3.42607E-09        0.                 0.         
               15.7535E-06         0.               557.784             13.5811E-03         0.                 0.                13.8864E-06        23.3176E-06         9.47693E-09        0.                 0.         
               16.5016E-06         0.               666.238             38.1696E-03         0.                 0.                13.3324E-06        26.5429E-06        25.2785E-09         0.                 0.         
               17.254E-06          0.               781.103            105.684E-03        542.46E-06           0.                13.0819E-06        29.4276E-06        56.5578E-09         0.                 0.         
               18.0021E-06         0.               858.293            207.197E-03        796.519E-06          0.                13.0277E-06        31.6011E-06       115.297E-09          0.                 0.         
               18.7501E-06         0.               899.045            396.368E-03          0.                 0.                13.0227E-06        32.9965E-06       223.228E-09          0.                 0.         
               19.5026E-06         0.               912.286            755.519E-03         17.543E-03          0.                13.095E-06         33.5109E-06       405.531E-09          0.                 0.         
               20.2506E-06         0.               879.097              1.28478            0.               520.155E-06         13.1416E-06        33.0988E-06       690.563E-09          0.                 0.         
               21.003E-06          0.               807.986              5.17521            0.                 0.                13.215E-06         31.912E-06          1.13334E-06        0.                 0.         
               21.7511E-06         0.               702.126             12.8849             0.                 0.                13.244E-06         29.9752E-06         1.75357E-06        0.                 0.         
               22.5035E-06         0.               552.134             22.5499             0.                 0.                13.3021E-06        27.5468E-06         2.62126E-06        0.                 0.         
               23.2516E-06         0.               387.403             35.7769             0.                 1.1545E-03        13.3555E-06        24.8187E-06         3.76411E-06        0.                 0.         
               24.004E-06          0.               250.832             66.4541           178.515E-06          0.                13.3899E-06        21.9686E-06         5.19947E-06        0.                 0.         
               24.752E-06          0.               123.032            103.192              0.                 0.                13.4485E-06        19.2826E-06         6.96445E-06      105.501E-12          0.         
               25.5001E-06         0.                41.4678           141.069              1.18169E-03        0.                13.4999E-06        16.8465E-06         9.03246E-06      418.368E-12          0.         
               26.2525E-06         0.                 3.78522          211.418              3.79084E-03        0.                13.5586E-06        14.8501E-06        11.3996E-06       978.616E-12          0.         
               27.0006E-06         0.                 0.               281.328              9.03279E-03        0.                13.5988E-06        13.2685E-06        13.9763E-06         2.09366E-09        0.         
