
                  X                  c1                 c3                 c5                 c7                 c9                 d1                 d3                 d5                 d7                 d9       

                0.                 1.18874            0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.         
              750.259E-09         37.4386             0.                 0.                 0.                 0.                 3.75125E-06        0.                 0.                 0.                 0.         
                1.50279E-06      115.604            370.379E-06          2.39298E-06      370.559E-06          0.                 7.47745E-06        0.                 0.                 0.                 0.         
                2.25097E-06      203.574            349.882E-06          2.39133E-06      349.523E-06          0.                11.0458E-06         2.78533E-12        0.                 0.                 0.         
                3.0035E-06       294.702            469.267E-06         48.1866E-09       475.92E-06           0.                14.4262E-06        51.5001E-12         0.                 0.                 0.         
                3.75168E-06      376.271            460.638E-06          0.                 1.00686E-03        0.                17.4579E-06       377.44E-12           0.                 0.                 0.         
                4.50425E-06      470.447             10.2897E-03         0.                 0.                 0.                20.0997E-06         1.35924E-09        0.                 0.                 0.         
                5.25247E-06      533.752              5.44368E-03        0.                 1.02916E-03        0.                22.2072E-06         4.80986E-09        0.                 0.                 0.         
                6.00069E-06      572.319             14.6459E-03        18.0935E-06       801.184E-06          0.                23.7305E-06        17.1292E-09         0.                 0.                -2.95586E-12
                6.75326E-06      593.444             90.5986E-03         0.                 0.                 0.                24.6544E-06        44.7703E-09         0.                 0.                -7.7307E-12 
                7.50148E-06      597.836            170.718E-03          0.                 0.               505.228E-06         24.9308E-06        98.3814E-09         0.                 0.               -10.0044E-12 
                8.25405E-06      580.034            368.012E-03          6.88882E-06        1.09798E-03      923.426E-06         24.6134E-06       199.643E-09          0.                 0.               -10.0044E-12 
                9.00227E-06      538.778            682.529E-03          0.               606.173E-06        104.378E-06         23.7176E-06       369.318E-09          0.                 0.               -10.0044E-12 
                9.75049E-06      471.965              1.19992            0.                 0.                 0.                22.3273E-06       627.516E-09          0.                 0.               -10.0044E-12 
               10.5031E-06       387.21               3.95637            3.35286E-06        0.                 1.14283E-03       20.5406E-06         1.01929E-06        0.                 0.               -10.0044E-12 
               11.2513E-06       293.634             10.6105             8.05492E-06        0.                 0.                18.4849E-06         1.56649E-06        0.                 0.               -10.0044E-12 
               12.0038E-06       192.473             19.2785            33.0827E-06         0.                 0.                16.2905E-06         2.29125E-06        0.                 0.               -10.0044E-12 
               12.7521E-06       109.364             30.0338            92.8098E-06         0.                 0.                14.1138E-06         3.21757E-06        0.                 0.               -10.0044E-12 
               13.5003E-06        46.6836            46.9867           143.914E-06          0.                 0.                12.0815E-06         4.36841E-06       61.8456E-12         0.               -10.0044E-12 
               14.2529E-06         7.06817           79.2837           331.015E-06          0.                 3.48672E-03       10.2757E-06         5.74919E-06      184.627E-12          0.               -10.0044E-12 
               15.0011E-06         0.               111.006            836.59E-06         277.525E-06          0.                 8.74419E-06        7.32282E-06      434.738E-12          0.               -10.0044E-12 
               15.7535E-06         0.               142.746              1.67958E-03        0.                 0.                 7.51348E-06        9.06505E-06      916.771E-12          0.               -10.0044E-12 
               16.5016E-06         0.               197.704              3.35412E-03        0.                 0.                 6.53161E-06       10.9181E-06         1.78625E-09        0.               -10.0044E-12 
               17.254E-06          0.               251.702              6.23789E-03        1.14909E-03        0.                 5.827E-06         12.8166E-06         3.34057E-09        0.               -10.0044E-12 
               18.0021E-06         0.               297.428             11.2112E-03         0.                 0.                 5.31431E-06       14.6411E-06         6.53472E-09        0.               -10.0044E-12 
               18.7501E-06         0.               332.475             22.8607E-03         0.                 0.                 4.98893E-06       16.3233E-06        14.9475E-09         0.               -10.0044E-12 
               19.5026E-06         0.               386.241             59.2846E-03         0.                 0.                 4.79727E-06       17.7831E-06        32.9155E-09         0.               -10.0044E-12 
               20.2506E-06         0.               429.584            116.752E-03          0.                 0.                 4.68442E-06       18.9214E-06        65.2308E-09         0.               -10.0044E-12 
               21.003E-06          0.               458.702            219.653E-03          0.                 0.                 4.64767E-06       19.6618E-06       118.323E-09          0.               -10.0044E-12 
               21.7511E-06         0.               467.311            376.777E-03          8.41895E-03        0.                 4.6118E-06        19.9601E-06       204.836E-09          0.               -10.0044E-12 
               22.5035E-06         0.               458.444            634.297E-03         10.7588E-03         0.                 4.60584E-06       19.7973E-06       344.892E-09          0.               -10.0044E-12 
               23.2516E-06         0.               432.143              1.0552             0.                 0.                 4.58678E-06       19.2009E-06       549.308E-09          0.               -10.0044E-12 
               24.004E-06          0.               386.764              2.21725            3.73471E-03        0.                 4.56856E-06       18.2103E-06       839.604E-09          0.               -10.9139E-12 
               24.752E-06          0.               320.991              6.85555            0.                 0.                 4.5632E-06        16.9115E-06         1.24184E-06        0.               -10.9139E-12 
               25.5001E-06         0.               258.255             13.1831             0.                 0.                 4.54292E-06       15.4023E-06         1.77786E-06        0.               -10.9139E-12 
               26.2525E-06         0.               201.603             21.5686             0.                 0.                 4.53589E-06       13.7648E-06         2.46556E-06        0.               -10.9139E-12 
               27.0006E-06         0.               140.677             31.3812             0.                 0.                 4.51866E-06       12.0929E-06         3.30735E-06        0.               -10.9139E-12 
               27.753E-06          0.                85.5863            46.4243           410.555E-06          0.                 4.50566E-06       10.4584E-06         4.3158E-06        93.678E-12        -10.9139E-12 
               28.5011E-06         0.                43.712             72.8865           531.961E-06          0.                 4.4997E-06         8.95676E-06        5.49128E-06      251.93E-12         -10.9139E-12 
               29.2535E-06         0.                11.2144           101.958              2.43703E-03        0.                 4.47023E-06        7.63516E-06        6.82096E-06      596.629E-12        -10.9139E-12 
               30.0015E-06         0.               401.773E-03        129.166              0.               511.169E-06          4.47312E-06        6.5386E-06         8.26466E-06        1.18416E-09      -10.9139E-12 
               30.754E-06          0.                 0.               162.129              8.40585E-03      319.326E-06          4.44619E-06        5.66336E-06        9.80007E-06        2.21189E-09      -10.9139E-12 
               31.5024E-06         0.                 0.               210.676             28.7052E-03         0.                 4.44006E-06        4.99568E-06       11.3585E-06         3.92174E-09      -10.9139E-12 
               32.2508E-06         0.                 0.               254.678             18.3956E-03         0.                 4.42155E-06        4.51288E-06       12.8688E-06         7.32325E-09      -10.9139E-12 
               33.0035E-06         0.                 0.               289.975             23.8278E-03         0.                 4.4053E-06         4.18008E-06       14.2604E-06        15.7033E-09       -10.9139E-12 
               33.7519E-06         0.                 0.               314.539             57.4785E-03         0.                 4.40056E-06        3.96796E-06       15.4593E-06        32.3744E-09       -10.9139E-12 
               34.5003E-06         0.                 0.               332.795            109.654E-03          0.                 4.36982E-06        3.85819E-06       16.4186E-06        62.1931E-09       -10.9139E-12 
               35.253E-06          0.                 0.               360.619            203.926E-03          0.                 4.3696E-06         3.80671E-06       17.103E-06        110.576E-09        -10.9139E-12 
               36.0014E-06         0.                 0.               374.952            336.208E-03        205.696E-06          4.3421E-06         3.802E-06         17.454E-06        184.957E-09        -10.9139E-12 
               36.7541E-06         0.                 0.               374.227            571.473E-03          0.                 4.33741E-06        3.81126E-06       17.4494E-06       302.585E-09        -10.9139E-12 
               37.5025E-06         0.                 0.               358.58             901.796E-03          0.                 4.3207E-06         3.83234E-06       17.105E-06        476.246E-09        -10.9139E-12 
               38.2509E-06         0.                 0.               327.339              1.3594             0.                 4.30789E-06        3.85086E-06       16.4292E-06       719.991E-09        -10.9139E-12 
               39.0036E-06         0.                 0.               288.207              4.72799            0.                 4.30082E-06        3.86766E-06       15.4798E-06         1.04956E-06      -10.9139E-12 
               39.752E-06          0.                 0.               248.911              9.73265            0.                 4.27683E-06        3.8872E-06        14.3301E-06         1.485E-06        -10.9139E-12 
               40.5003E-06         0.                 0.               204.345             16.4435             0.                 4.26901E-06        3.90441E-06       13.038E-06          2.04418E-06      -10.9139E-12 
               41.2531E-06         0.                 0.               156.012             24.7908             0.                 4.25427E-06        3.92109E-06       11.6722E-06         2.74076E-06      -10.9139E-12 
               42.0014E-06         0.                 0.               110.462             34.4728             1.56358E-03        4.23793E-06        3.93817E-06       10.3017E-06         3.57292E-06      -10.9139E-12 
               42.7542E-06         0.                 0.                66.8891            51.9862             0.                 4.23091E-06        3.95418E-06        8.98421E-06        4.54586E-06       96.4064E-12 
               43.5025E-06         0.                 0.                38.3745            76.4765             0.                 4.20838E-06        3.97504E-06        7.77759E-06        5.64014E-06      409.273E-12  
               44.2509E-06         0.                 0.                14.1378           101.921              1.38784E-03        4.20525E-06        3.9905E-06         6.71195E-06        6.82985E-06      900.4E-12    
               45.0036E-06         0.                 0.                 2.59569          126.652              2.38255E-03        4.17806E-06        4.01009E-06        5.80523E-06        8.09431E-06        1.68075E-09
               45.752E-06          0.                 0.                 0.               149.69               5.71048E-03        4.16797E-06        4.02754E-06        5.07364E-06        9.38822E-06        2.96495E-09
               46.5004E-06         0.                 0.                 0.               189.802              7.26911E-03        4.15603E-06        4.04282E-06        4.50647E-06       10.6795E-06         5.01132E-09
               47.2531E-06         0.                 0.                 0.               227.945             17.6097E-03         4.1331E-06         4.06318E-06        4.07653E-06       11.9174E-06         9.5406E-09 
               48.0015E-06         0.                 0.                 0.               259.711             17.1618E-03         4.13264E-06        4.07886E-06        3.77928E-06       13.0248E-06        19.6706E-09 
               48.7542E-06         0.                 0.                 0.               283.718             97.9215E-03         4.10356E-06        4.10317E-06        3.58184E-06       13.969E-06         38.3206E-09 
               49.5026E-06         0.                 0.                 0.               298.613            128.376E-03          4.10522E-06        4.11667E-06        3.46438E-06       14.6825E-06        70.344E-09  
