
                  X                  c1                 c3                 c5                 c7                 c9                 d1                 d3                 d5                 d7                 d9       

                0.                 4.62771            0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.         
              750.259E-09        352.597              0.                 0.                 0.                 0.                15.0046E-06         0.                 0.                 0.                 0.         
                1.50279E-06      913.203              0.                 0.                 0.                 0.                29.724E-06          0.                 0.                 0.                 0.         
                2.25097E-06        1.55501E+03        0.                 0.                 0.                 0.                43.3091E-06        23.4195E-12         0.                 0.                 0.         
                3.0035E-06         2.17103E+03        0.                21.5485E-06         0.                 1.56874E-03       55.3033E-06       447.471E-12          0.                 0.                 0.         
                3.75168E-06        2.65457E+03        8.02507E-03        0.                 7.57209E-03        0.                64.8256E-06         8.77299E-09        0.                 0.                 0.         
                4.50425E-06        3.02016E+03       50.5508E-03         0.                 0.                 0.                71.4953E-06        44.9045E-09         0.                 0.                 0.         
                5.25247E-06        3.22447E+03      266.502E-03          0.                 0.                 0.                74.9072E-06       159.772E-09          0.                 0.                 0.         
                6.00069E-06        3.12952E+03      691.178E-03          0.                 0.                 1.24423E-03       74.8812E-06       445.39E-09           0.                 0.                 0.         
                6.75326E-06        2.82157E+03        3.15724            0.                 0.                 0.                71.7215E-06         1.04223E-06        0.                 0.                 0.         
                7.50148E-06        2.27967E+03       15.7467             0.                 0.                 0.                65.9314E-06         2.12144E-06        0.                 0.                 0.         
                8.25405E-06        1.59453E+03       35.4988             0.               431.691E-06          0.                58.329E-06          3.92869E-06        0.                 0.                 0.         
                9.00227E-06      880.294             92.2458             0.               640.267E-06          0.                50.0535E-06         6.63937E-06        0.                 0.                 0.         
                9.75049E-06      347.718            176.337              0.                 0.                 0.                41.8927E-06        10.4137E-06         0.                 0.                 0.         
               10.5031E-06        38.8414           342.535             28.6236E-06         0.                 2.70094E-03       34.708E-06         15.3523E-06       127.329E-12          0.                 0.         
               11.2513E-06         0.               557.269            689.448E-06          0.                 0.                28.9347E-06        21.3471E-06       522.05E-12           0.                 0.         
               12.0038E-06         0.               813.11               2.36906E-03        0.                 0.                24.5628E-06        28.1767E-06         1.53159E-09        0.                 0.         
               12.7521E-06         0.                 1.15927E+03        6.85208E-03        0.                 0.                21.5153E-06        35.4125E-06         5.20777E-09        0.                 0.         
               13.5003E-06         0.                 1.49059E+03       24.1521E-03         0.                 1.59592E-03       19.6083E-06        42.4956E-06        19.5487E-09         0.                 0.         
               14.2529E-06         0.                 1.81409E+03       93.3941E-03         0.               849.94E-06          18.6179E-06        48.8815E-06        54.597E-09          0.                 0.         
               15.0011E-06         0.                 2.04577E+03      226.791E-03          0.                 0.                18.144E-06         53.8724E-06       140.057E-09          0.                 0.         
               15.7535E-06         0.                 2.22286E+03      543.247E-03          0.               523.224E-06         18.0239E-06        57.0182E-06       321.35E-09           0.                 0.         
               16.5016E-06         0.                 2.27019E+03        1.20179            0.               742.046E-06         18.E-06            57.9975E-06       663.935E-09          0.                 0.         
               17.254E-06          0.                 2.13324E+03        6.40143            0.                 0.                17.9925E-06        56.7278E-06         1.27524E-06        0.                 0.         
               18.0021E-06         0.                 1.84764E+03       18.0331             0.                 2.03556E-03       17.9723E-06        53.5343E-06         2.27078E-06        0.                 0.         
               18.7501E-06         0.                 1.49601E+03       34.8902             0.               353.667E-06         17.9164E-06        48.7903E-06         3.7912E-06         0.                 0.         
               19.5026E-06         0.                 1.07635E+03       81.4291             0.                81.9961E-06        17.9521E-06        43.0985E-06         5.98816E-06        0.                 0.         
               20.2506E-06         0.               660.921            148.137              0.               554.342E-06         17.9407E-06        37.1292E-06         8.94141E-06        0.                 0.         
               21.003E-06          0.               327.542            256.253              0.                 0.                17.9345E-06        31.3856E-06        12.7605E-06         0.                 0.         
               21.7511E-06         0.               105.982            405.136              0.                 0.                17.918E-06         26.3891E-06        17.3345E-06       494.765E-12          0.         
               22.5035E-06         0.                 1.73954          607.91               0.                10.4032E-03        17.899E-06         22.2975E-06        22.5576E-06         1.46247E-09        0.         
               23.2516E-06         0.                 0.               815.165             14.374E-03          0.                17.8973E-06        19.3497E-06        28.1574E-06         4.1E-09            0.         
               24.004E-06          0.                 0.                 1.09546E+03        4.82069E-03        0.                17.8356E-06        17.2759E-06        33.8089E-06        14.3991E-09         0.         
               24.752E-06          0.                 0.                 1.30147E+03       67.5429E-03         0.                17.8725E-06        16.0009E-06        39.0689E-06        40.3052E-09         0.         
               25.5001E-06         0.                 0.                 1.54727E+03      173.927E-03          0.                17.8622E-06        15.3869E-06        43.4844E-06        96.3519E-09         0.         
               26.2525E-06         0.                 0.                 1.71052E+03      350.633E-03          0.                17.8541E-06        15.0985E-06        46.7291E-06       216.922E-09          0.         
               27.0006E-06         0.                 0.                 1.77489E+03      787.147E-03          0.                17.8502E-06        15.1197E-06        48.3787E-06       441.007E-09          0.         
               27.753E-06          0.                 0.                 1.74174E+03        1.51526            0.                17.8357E-06        15.1752E-06        48.3759E-06       845.15E-09           0.         
               28.5011E-06         0.                 0.                 1.63178E+03        9.20488            1.1513E-03        17.8228E-06        15.3224E-06        46.729E-06          1.50405E-06        0.         
               29.2535E-06         0.                 0.                 1.39551E+03       21.0101           353.491E-06         17.7717E-06        15.4373E-06        43.6341E-06         2.53356E-06        0.         
               30.0015E-06         0.                 0.                 1.11087E+03       38.104              0.                17.7872E-06        15.5135E-06        39.515E-06          4.02068E-06        0.         
               30.754E-06          0.                 0.               796.545             84.136              0.                17.7957E-06        15.6707E-06        34.7632E-06         6.09872E-06        0.         
               31.5024E-06         0.                 0.               518.757            145.051              0.                17.7759E-06        15.7407E-06        29.879E-06          8.80338E-06        0.         
               32.2508E-06         0.                 0.               268.847            241.504              0.                17.7743E-06        15.8794E-06        25.2752E-06        12.1421E-06         0.         
               33.0035E-06         0.                 0.               110.347            368.553            715.729E-06         17.7456E-06        15.9726E-06        21.2162E-06        16.1518E-06       261.934E-12  
               33.7519E-06         0.                 0.                14.4952           533.431              5.44372E-03       17.7422E-06        16.0939E-06        17.9835E-06        20.604E-06          1.5134E-09 
               34.5003E-06         0.                 0.                 0.               719.524              0.                17.6951E-06        16.2161E-06        15.5498E-06        25.3422E-06         4.3583E-09 
               35.253E-06          0.                 0.                 0.               914.648             66.7408E-03        17.7052E-06        16.2833E-06        13.9231E-06        30.0872E-06        14.6902E-09 
