
                  X                  c1                 c3                 c5                 c7                 c9                 d1                 d3                 d5                 d7                 d9       

                0.                11.4438             0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.         
              750.259E-09          1.48315E+03        0.                 0.                 0.                 0.                37.5102E-06         0.                 0.                 0.                 0.         
                1.50279E-06        3.98636E+03        0.                 0.                 0.                 1.50723E-03       73.7447E-06         0.                 0.                 0.                 0.         
                2.25097E-06        6.82233E+03        0.                 3.35822E-09        0.                 0.               105.241E-06        104.592E-12          0.                 0.                 0.         
                3.0035E-06         9.48918E+03        6.2741E-03       117.499E-09          0.                 1.47549E-03      129.603E-06          5.09863E-09        0.                 0.                 0.         
                3.75168E-06       11.1047E+03        70.2598E-03        72.849E-09          0.                 1.34154E-03      143.146E-06         85.4698E-09         0.                 0.                 0.         
                4.50425E-06       11.1841E+03       500.453E-03         41.1731E-09       511.917E-06         68.8618E-06       144.718E-06        448.925E-09          0.                 0.                 0.         
                5.25247E-06       10.1086E+03         6.26381            3.2306E-06         0.               411.193E-06        134.731E-06          1.55592E-06        0.                 0.                 0.         
                6.00069E-06        7.76457E+03       32.8051             2.91759E-06      182.676E-06        320.037E-06        115.063E-06          4.22554E-06        0.                 0.                 0.         
                6.75326E-06        5.25113E+03      142.363              1.61773E-06      514.217E-06          0.                89.3572E-06         9.60986E-06        0.                 0.                 0.         
                7.50148E-06        2.99366E+03      428.951              4.24672E-06        0.                 0.                62.1175E-06        18.7889E-06         0.                 0.                 0.         
                8.25405E-06        1.28847E+03        1.03398E+03      174.381E-06        144.056E-06          0.                36.5794E-06        32.7424E-06         0.                 0.                 0.         
                9.00227E-06      290.243              2.17814E+03      578.995E-06          0.                 0.                15.8129E-06        51.3032E-06       341.97E-12           0.                 0.         
                9.75049E-06        0.                 3.8363E+03         2.29537E-03        0.                 1.06392E-03      304.193E-09         73.2368E-06         2.14277E-09        0.                 0.         
               10.5031E-06         0.                 5.88651E+03       15.2519E-03         1.71553E-03        0.               -10.015E-06         96.2177E-06        16.8875E-09         0.                 0.         
               11.2513E-06         0.                 8.02009E+03       95.431E-03        126.372E-06          0.               -16.4873E-06       116.578E-06         77.8273E-09         0.                 0.         
               12.0038E-06         0.                 9.58074E+03      395.41E-03           0.                 0.               -20.2976E-06       130.998E-06        289.088E-09          0.                 0.         
               12.7521E-06         0.                10.22E+03           1.35693            0.                 0.               -22.5455E-06       136.695E-06        881.675E-09          0.                 0.         
               13.5003E-06         0.                 9.76682E+03       14.7338           640.153E-06        340.081E-06        -24.0909E-06       132.648E-06          2.30554E-06        0.                 0.         
               14.2529E-06         0.                 8.33125E+03       53.6401           300.203E-06          0.               -25.241E-06        119.465E-06          5.31588E-06        0.                 0.         
               15.0011E-06         0.                 6.2466E+03       171.727              0.                 0.               -26.5383E-06        99.9096E-06        10.8503E-06         0.                 0.         
               15.7535E-06         0.                 4.16156E+03      469.482              0.                 0.               -27.6846E-06        77.1224E-06        19.9975E-06         0.                 0.         
               16.5016E-06         0.                 2.41065E+03        1.08974E+03        0.                 0.               -28.8886E-06        54.7646E-06        33.4021E-06         0.                 0.         
               17.254E-06          0.                 1.19433E+03        2.17575E+03      920.267E-06          0.               -30.0697E-06        35.1337E-06        51.2101E-06       407.454E-12          0.         
               18.0021E-06         0.               470.047              3.75536E+03        0.                 0.               -31.2962E-06        19.941E-06         72.1221E-06         3.4197E-09         0.         
               18.7501E-06         0.               142.202              5.7038E+03         0.               535.383E-06        -32.5196E-06         9.27257E-06       94.0662E-06        21.3186E-09         0.         
               19.5026E-06         0.                 9.92926            7.70951E+03      124.951E-03          0.               -33.657E-06          2.52438E-06      114.042E-06         91.1314E-09         0.         
               20.2506E-06         0.                 0.                 9.26522E+03      444.958E-03        900.13E-06         -34.8886E-06        -1.26981E-06      128.493E-06        315.093E-09          0.         
               21.003E-06          0.                 0.                10.0362E+03         1.44407            7.96644E-03      -36.0857E-06        -3.19547E-06      134.941E-06        924.534E-09          0.         
               21.7511E-06         0.                 0.                 9.68815E+03       15.3324             0.               -37.2554E-06        -4.14671E-06      132.059E-06          2.35312E-06        0.         
               22.5035E-06         0.                 0.                 8.40605E+03       54.2546           149.8E-06          -38.4726E-06        -4.54865E-06      120.382E-06          5.32799E-06        0.         
               23.2516E-06         0.                 0.                 6.48887E+03      170.153              0.               -39.5924E-06        -4.7916E-06       102.246E-06         10.7592E-06         0.         
               24.004E-06          0.                 0.                 4.461E+03        460.254              0.               -40.8564E-06        -4.98489E-06       80.5725E-06        19.7101E-06         0.         
               24.752E-06          0.                 0.                 2.70825E+03        1.04716E+03        0.               -41.9939E-06        -5.2356E-06        58.9131E-06        32.8072E-06         0.         
               25.5001E-06         0.                 0.                 1.44657E+03        2.10998E+03      667.637E-06        -43.2541E-06        -5.46454E-06       39.6669E-06        50.1365E-06         0.         
               26.2525E-06         0.                 0.               660.282              3.65018E+03        2.04198E-03      -44.4701E-06        -5.62075E-06       24.3254E-06        70.8447E-06         3.0559E-09 
