
                  X                  c1                 c3                 c5                 c7                 c9                 d1                 d3                 d5                 d7                 d9       

                0.                11.4438             0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.         
              750.259E-09          1.30928E+03        0.                 0.                 0.                 0.                37.5102E-06         0.                 0.                 0.                 0.         
                1.50279E-06        3.25732E+03      736.798E-06          0.               736.808E-06        736.808E-06         73.8029E-06         0.                 0.                 0.                 0.         
                2.25097E-06        5.19505E+03      699.94E-06           7.49101E-09      708.399E-06        715.591E-06        106.097E-06        100.954E-12          0.                 0.                 0.         
                3.0035E-06         6.86427E+03        9.19057E-03      539.816E-09        351.907E-06        352.222E-06        133.168E-06          4.27826E-09        0.                 0.                 0.         
                3.75168E-06        8.02397E+03       42.7884E-03         4.47279E-06      766.416E-06          0.               152.311E-06         69.1643E-09         0.                 0.                 0.         
                4.50425E-06        8.51608E+03      398.29E-03          15.6794E-06         0.                10.1073E-03       163.052E-06        323.971E-09          0.                 0.                 0.         
                5.25247E-06        8.51828E+03        2.26337            4.34494E-06        0.                 0.               164.876E-06          1.03936E-06        0.                 0.                 0.         
                6.00069E-06        7.01702E+03       18.3595            66.8322E-06         0.                 0.               158.173E-06          2.68625E-06        0.                 0.                 0.         
                6.75326E-06        5.06419E+03       65.8501           122.799E-06        201.369E-06        391.79E-06         144.986E-06          5.79634E-06        0.                 0.                 0.         
                7.50148E-06        2.70339E+03      179.651            108.567E-06          1.25366E-03      317.813E-06        128.381E-06         10.9566E-06         0.                 0.                 0.         
                8.25405E-06      737.798            417.105            206.604E-06          0.                 0.               111.573E-06         18.8271E-06         0.                 0.                 0.         
                9.00227E-06        0.               823.236            568.042E-06          0.                 1.32099E-03       97.6108E-06        29.4153E-06        18.1899E-12         0.                 0.         
                9.75049E-06        0.                 1.43402E+03        1.5029E-03         0.                 0.                87.1961E-06        42.6957E-06       720.32E-12           0.                 0.         
               10.5031E-06         0.                 2.24648E+03        4.38392E-03        0.                 0.                80.4337E-06        58.0497E-06         3.75439E-09        0.                 0.         
               11.2513E-06         0.                 3.09635E+03       21.2566E-03         0.                 0.                76.6878E-06        74.0404E-06        19.4632E-09         0.                 0.         
               12.0038E-06         0.                 3.98742E+03      101.782E-03         18.9374E-03         0.                75.4835E-06        89.2231E-06        69.5836E-09         0.                 0.         
               12.7521E-06         0.                 4.64739E+03      315.614E-03          0.                 0.                75.799E-06        101.685E-06        208.325E-09          0.                 0.         
               13.5003E-06         0.                 5.20301E+03      902.251E-03          0.                 0.                76.8537E-06       109.853E-06        544.569E-09          0.                 0.         
               14.2529E-06         0.                 5.23924E+03        5.07746            0.                 0.                78.0502E-06       112.778E-06          1.25131E-06        0.                 0.         
               15.0011E-06         0.                 4.83609E+03       19.9939             7.60723E-03        0.                79.1329E-06       110.423E-06          2.57194E-06        0.                 0.         
               15.7535E-06         0.                 4.00148E+03       51.1487             0.                 0.                80.3695E-06       103.703E-06          4.84624E-06        0.                 0.         
               16.5016E-06         0.                 2.82075E+03      127.107              0.                 0.                81.4792E-06        93.9188E-06         8.38664E-06        0.                 0.         
               17.254E-06          0.                 1.55818E+03      269.118              0.               886.11E-06          82.6925E-06        82.7578E-06        13.5472E-06         0.                 0.         
               18.0021E-06         0.               601.887            499.561              0.                 1.50937E-03       83.7186E-06        72.0564E-06        20.4414E-06         0.                 0.         
               18.7501E-06         0.                40.5445           808.165            597.487E-06          0.                84.8657E-06        62.974E-06         29.1426E-06       363.798E-12          0.         
               19.5026E-06         0.                 0.                 1.27591E+03        0.                 0.                86.0721E-06        56.2518E-06        39.4083E-06         1.83354E-09        0.         
               20.2506E-06         0.                 0.                 1.82818E+03       19.4644E-03         0.                87.2746E-06        51.8567E-06        50.4575E-06         9.88803E-09        0.         
               21.003E-06          0.                 0.                 2.42558E+03       29.5238E-03         0.                88.4659E-06        49.3966E-06        61.5628E-06        35.2884E-09         0.         
               21.7511E-06         0.                 0.                 2.96506E+03      170.349E-03          0.                89.5588E-06        48.5169E-06        71.5301E-06       101.121E-09          0.         
               22.5035E-06         0.                 0.                 3.37263E+03      430.109E-03        556.261E-06         90.6939E-06        48.5329E-06        79.3667E-06       262.022E-09          0.         
               23.2516E-06         0.                 0.                 3.59507E+03        1.04655            1.04766E-03       91.8061E-06        49.198E-06         84.1225E-06       595.122E-09          0.         
               24.004E-06          0.                 0.                 3.6294E+03         5.44532          406.371E-06         93.0275E-06        49.9639E-06        85.3747E-06         1.23952E-06        0.         
               24.752E-06          0.                 0.                 3.3038E+03        18.3617           347.829E-06         94.1726E-06        50.6854E-06        83.1583E-06         2.35691E-06        0.         
               25.5001E-06         0.                 0.                 2.7154E+03        38.6142             0.                95.2992E-06        51.3897E-06        77.9657E-06         4.18248E-06        0.         
               26.2525E-06         0.                 0.                 2.04472E+03       97.1708             2.2614E-03        96.4675E-06        52.0586E-06        70.6824E-06         6.97737E-06        0.         
