
                  X                  c1                 c3                 c5                 c7                 c9                 d1                 d3                 d5                 d7                 d9       

                0.                11.4438             0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.         
              750.259E-09          1.29979E+03        0.                 0.                 0.                 0.                37.5102E-06         0.                 0.                 0.                 0.         
                1.50279E-06        3.24773E+03      641.866E-06          0.                 0.               994.814E-06         73.8065E-06         0.                 0.                 0.                 0.         
                2.25097E-06        5.22053E+03        0.                 0.                 0.               877.228E-06        106.115E-06        100.954E-12          0.                 0.                 0.         
                3.0035E-06         6.91384E+03        0.                 0.               149.659E-06          0.               133.174E-06          4.25371E-09        0.                 0.                 0.         
                3.75168E-06        8.13074E+03       51.999E-03          0.                 0.                 0.               152.24E-06          69.1161E-09         0.                 0.                 0.         
                4.50425E-06        8.65777E+03      395.173E-03          0.               615.628E-06          0.               162.75E-06         326.05E-09           0.                 0.                 0.         
                5.25247E-06        8.65837E+03        2.29193            0.                 0.                 0.               164.206E-06          1.04739E-06        0.                 0.                 0.         
                6.00069E-06        7.11043E+03       18.5024             0.               284.91E-06          40.0366E-03       157.014E-06          2.71794E-06        0.                 0.                 0.         
                6.75326E-06        5.09965E+03       67.6909           564.983E-09        122.164E-06          0.               143.224E-06          5.87536E-06        0.                 0.                 0.         
                7.50148E-06        2.69167E+03      184.89               1.04529E-06      211.377E-06          0.               126.052E-06         11.1523E-06         0.                 0.                 0.         
                8.25405E-06      700.209            430.586            106.044E-06          0.                 0.               108.766E-06         19.1954E-06         0.                 0.                 0.         
                9.00227E-06        0.               866.736            381.407E-06          0.                 1.42994E-03       94.4506E-06        30.0257E-06        36.3798E-12         0.                 0.         
                9.75049E-06        0.                 1.51164E+03        1.31713E-03       69.5831E-06         0.                83.8126E-06        43.6174E-06       753.062E-12          0.                 0.         
               10.5031E-06         0.                 2.33655E+03        4.34836E-03        0.                 0.                76.8971E-06        59.2939E-06         4.01633E-09        0.                 0.         
               11.2513E-06         0.                 3.26014E+03       22.473E-03          0.                 0.                73.1074E-06        75.6151E-06        20.6091E-09         0.                 0.         
               12.0038E-06         0.                 4.19455E+03      108.158E-03        166.144E-06          0.                71.8937E-06        90.9938E-06        74.1893E-09         0.                 0.         
               12.7521E-06         0.                 4.90443E+03      335.182E-03        561.141E-06          0.                72.1509E-06       103.322E-06        223.205E-09          0.                 0.         
               13.5003E-06         0.                 5.40671E+03      970.859E-03          1.05114E-03        0.                73.1777E-06       111.175E-06        584.034E-09          0.                 0.         
               14.2529E-06         0.                 5.41764E+03        6.04542            1.56718E-03        0.                74.2624E-06       113.563E-06          1.34791E-06        0.                 0.         
               15.0011E-06         0.                 4.96187E+03       22.0629           304.753E-06         13.9227E-03        75.2741E-06       110.535E-06          2.77269E-06        0.                 0.         
               15.7535E-06         0.                 4.06503E+03       59.2048             0.                 0.                76.3815E-06       103.03E-06           5.21118E-06        0.                 0.         
               16.5016E-06         0.                 2.78159E+03      142.611              0.                 0.                77.4138E-06        92.4987E-06         9.0206E-06         0.                 0.         
               17.254E-06          0.                 1.4874E+03       306.697              0.                 0.                78.572E-06         80.816E-06         14.549E-06          0.                 0.         
               18.0021E-06         0.               555.72             566.811              0.                 0.                79.4892E-06        69.7317E-06        21.8995E-06         0.                 0.         
               18.7501E-06         0.                19.1102           946.417              3.33985E-03        0.                80.5726E-06        60.5171E-06        31.0696E-06       509.317E-12          0.         
               19.5026E-06         0.                 0.                 1.43135E+03        1.89981E-03        0.                81.6499E-06        53.7585E-06        41.787E-06          2.28465E-09        0.         
               20.2506E-06         0.                 0.                 1.97544E+03        0.                 0.                82.7925E-06        49.3556E-06        53.2372E-06        12.2309E-09         0.         
               21.003E-06          0.                 0.                 2.6278E+03        56.9259E-03         0.                83.8812E-06        46.9735E-06        64.5833E-06        41.8368E-09         0.         
               21.7511E-06         0.                 0.                 3.22121E+03      201.576E-03        234.173E-06         84.9116E-06        46.1391E-06        74.5035E-06       122.032E-09          0.         
               22.5035E-06         0.                 0.                 3.58287E+03      496.11E-03           0.                85.9428E-06        46.2725E-06        82.0319E-06       312.255E-09          0.         
               23.2516E-06         0.                 0.                 3.8486E+03         1.24522            0.                86.9574E-06        46.8885E-06        86.1815E-06       711.167E-09          0.         
               24.004E-06          0.                 0.                 3.8172E+03         8.11259            0.                88.1194E-06        47.6199E-06        86.6423E-06         1.4776E-06         0.         
               24.752E-06          0.                 0.                 3.42268E+03       22.9907             0.                89.1733E-06        48.3201E-06        83.4104E-06         2.79715E-06        0.         
               25.5001E-06         0.                 0.                 2.73478E+03       55.231              0.                90.2174E-06        48.957E-06         77.3E-06            4.90034E-06        0.         
               26.2525E-06         0.                 0.                 1.95035E+03      124.573              0.                91.2786E-06        49.6175E-06        69.2002E-06         8.08724E-06        0.         
               27.0006E-06         0.                 0.                 1.12983E+03      240.841              0.                92.339E-06         50.2957E-06        60.2795E-06        12.5181E-06         0.         
